Date,Open,High,Low,Close,Adj Close,Volume
11/29/2016,2050,2130,2050,2110,2061.487793,13127100
11/30/2016,2150,2300,2110,2300,2247.119385,30957800
12/1/2016,2300,2310,2200,2220,2168.95874,11179000
12/2/2016,2230,2260,2180,2260,2208.039063,8221800
12/5/2016,2260,2290,2230,2270,2217.809082,6689800
12/6/2016,2270,2300,2250,2280,2227.579346,6964000
12/7/2016,2310,2310,2230,2280,2227.579346,5054800
12/8/2016,2300,2400,2250,2380,2325.280029,12078500
12/9/2016,2400,2400,2330,2380,2325.280029,2436400
12/13/2016,2380,2390,2330,2380,2325.280029,5243900
12/14/2016,2380,2400,2290,2340,2286.199707,7005200
12/15/2016,2300,2330,2260,2270,2217.809082,4005900
12/16/2016,2270,2330,2270,2310,2256.889404,5700000
12/19/2016,2310,2370,2270,2330,2276.429688,7547000
12/20/2016,2330,2350,2320,2350,2295.969971,4684800
12/21/2016,2350,2360,2220,2220,2168.95874,3152600
12/22/2016,2190,2270,2190,2240,2188.498779,6076800
12/23/2016,2250,2280,2240,2250,2198.269043,3005900
12/27/2016,2250,2310,2250,2250,2198.269043,2063000
12/28/2016,2250,2320,2250,2290,2237.349365,2308700
12/29/2016,2290,2370,2290,2350,2295.969971,6820900
12/30/2016,2400,2400,2310,2310,2256.889404,5346200
1/2/2017,2310,2310,2310,2310,2256.889404,0
1/3/2017,2310,2340,2250,2280,2227.579346,6897200
1/4/2017,2280,2320,2270,2320,2266.659668,5094200
1/5/2017,2360,2560,2330,2560,2501.141602,20877500
1/6/2017,2560,2680,2520,2650,2589.072266,18375700
1/9/2017,2650,2700,2580,2640,2579.302246,7533500
1/10/2017,2640,2670,2610,2670,2608.612549,6217800
1/11/2017,2670,2690,2660,2690,2628.152832,3222800
1/12/2017,2690,2770,2670,2770,2706.313477,6775600
1/13/2017,2770,2810,2730,2770,2706.313477,9497500
1/16/2017,2770,2830,2750,2780,2716.083496,7692400
1/17/2017,2780,2790,2710,2770,2706.313477,6767300
1/18/2017,2770,2770,2700,2720,2657.462891,8524700
1/19/2017,2710,2710,2620,2650,2589.072266,6897400
1/20/2017,2650,2670,2610,2660,2598.842529,7038500
1/23/2017,2660,2680,2630,2630,2569.532227,4270700
1/24/2017,2660,2690,2620,2680,2618.382568,2950400
1/25/2017,2900,2900,2670,2830,2764.933838,21547000
1/26/2017,2830,2950,2830,2910,2843.094482,13343100
1/27/2017,2920,2920,2810,2870,2804.014404,7386700
1/30/2017,2870,2920,2860,2890,2823.554443,8744900
1/31/2017,2910,2980,2890,2910,2843.094482,17162000
2/1/2017,2900,2910,2800,2850,2784.473877,9091700
2/2/2017,2850,2990,2780,2910,2843.094482,12473500
2/3/2017,2910,2940,2850,2900,2833.324463,6173300
2/6/2017,2850,2930,2850,2920,2852.864502,6731100
2/7/2017,2930,2940,2870,2900,2833.324463,9253300
2/8/2017,2940,3070,2900,3070,2999.416016,11252900
2/9/2017,3080,3090,3020,3080,3009.185791,3914900
2/10/2017,3050,3070,2980,3070,2999.416016,5352200
2/13/2017,3010,3060,3010,3040,2970.105713,8701700
2/14/2017,3020,3200,3020,3130,3058.036377,13678300
2/15/2017,3130,3130,3130,3130,3058.036377,0
2/16/2017,3170,3190,3130,3150,3077.576416,7724300
2/17/2017,3150,3220,3030,3130,3058.036377,7900800
2/20/2017,3150,3240,3120,3230,3155.737305,11748000
2/21/2017,3250,3250,3050,3070,2999.416016,3935100
2/22/2017,3080,3150,3020,3130,3058.036377,6385100
2/23/2017,3150,3250,3100,3240,3165.507324,10647000
2/24/2017,3230,3230,3090,3120,3048.266357,6782800
2/27/2017,3130,3170,3010,3010,2940.79541,6489600
2/28/2017,3030,3070,2910,2990,2921.255127,11177400
3/1/2017,2980,3000,2870,2940,2872.405029,8154200
3/2/2017,2950,3000,2910,2910,2843.094482,3521800
3/3/2017,2910,2920,2880,2890,2823.554443,4752400
3/6/2017,2950,2950,2890,2900,2833.324463,3397200
3/7/2017,2900,2900,2810,2870,2804.014404,5445000
3/8/2017,2810,2870,2810,2830,2764.933838,3576100
3/9/2017,2960,2990,2830,2960,2891.945068,10601500
3/10/2017,2970,2990,2920,2980,2911.485107,12835300
3/13/2017,2980,3030,2930,3000,2931.025391,6878800
3/14/2017,3050,3060,3010,3050,2979.875732,4930500
3/15/2017,3080,3080,3010,3010,2940.79541,2178800
3/16/2017,3010,3190,3010,3180,3106.886963,7835700
3/17/2017,3250,3250,3180,3250,3175.277344,9413700
3/20/2017,3250,3250,3160,3200,3126.427002,3186800
3/21/2017,3240,3250,3200,3250,3175.277344,5358400
3/22/2017,3200,3240,3150,3180,3106.886963,7584200
3/23/2017,3240,3300,3220,3280,3204.587891,7891600
3/24/2017,3280,3300,3260,3270,3194.817627,2879100
3/27/2017,3290,3290,3180,3290,3214.357666,2512400
3/29/2017,3210,3310,3180,3180,3106.886963,12706100
3/30/2017,3220,3230,3160,3220,3145.967041,2129200
3/31/2017,3190,3200,3060,3060,2989.645752,2846000
4/3/2017,3080,3130,3030,3030,2960.335693,2064200
4/4/2017,3020,3120,3000,3090,3018.956055,6188700
4/5/2017,3090,3090,3090,3090,3018.956055,0
4/6/2017,3040,3070,2980,3040,2970.105713,5862500
4/7/2017,3040,3070,2940,2940,2872.405029,4030600
4/10/2017,2940,3000,2920,2930,2862.634766,2823200
4/11/2017,2930,2970,2900,2940,2872.405029,4126800
4/12/2017,2990,3080,2910,3040,2970.105713,5538600
4/13/2017,3080,3080,2980,3030,2960.335693,5130700
4/17/2017,3080,3080,2940,2940,2872.405029,2155900
4/18/2017,2990,3010,2950,3000,2931.025391,4633200
